Subject,From,Body
Re: Choices for HSSMEC Autumn Sem 2023-24 ( UG II Year),Assit RegistrarCurriculum <arcurriculum@iitr.ac.in>,"

Dear Students, 




It is a gentle reminder regarding HSSMEC. Tomorrow i.e., April 25, 2023 , is the last date to submit your choices for the same. 

Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 


From: ""Assit RegistrarCurriculum"" <arcurriculum@iitr.ac.in> 
To: ""UG 1st Year Students"" <ug-1st-year@iitr.ac.in> 
Cc: ""Hod of Departments"" <hod@iitr.ac.in>, ""Dean AcademicAffairs"" <daa@iitr.ac.in>, ""Assoc DeanofAcademicAffairs"" <adaa-curriculum@iitr.ac.in> 
Sent: Thursday, April 20, 2023 2:51:49 PM 
Subject: Choices for HSSMEC Autumn Sem 2023-24 ( UG II Year) 



No.Acad/UG/20423/OEC-Reg./2023-24 Date: April 20 , 2023 




Notice: Humanities Elective (HSSMEC) Category courses (Autumn Semester 2023-24) 




SECOND YEAR STUDENTS 




The Undergraduate/IMT/BSMS II Yr students are hereby informed that the provisional registration for the HSSMEC (for second year) for Autumn Semester 2022-23 will be carried out online at [ https://acad.iitr.ac.in/ | https://acad.iitr.ac.in ] during 20 April, 2023 to 25 April, 2023. 




All students are required to give their choices for HSSMEC category courses for Autumn Semester 2023-24 during the above schedule. Registration after the due date would not be allowed. Non-registered students would not be able to add these courses at the time of addition/deletion also. 




In case of Students who do not fill up choices within the prescribed date, the Academic Section will allocate the electives as per availability. 




The list of the courses to be offered are given below: 




Kindly note that students are required to opt for minimum 2 choices at least. 



Subject Area 	

Subject Code 	

Subject title 	

In which branch to be offered 


HSSMEC 

	

HSS-01/HSS-02 	

Economics/ Sociology 	

BE, CE, CH, CSE, ECE, EE, EPH,DSAI 

BS-MS(Chemical Science), BS-MS(Physics) 





The Notice is also uploaded on channel i and acad portal. 
channel i link- [ https://channeli.in/noticeboard/notice/9514 | https://channeli.in/noticeboard/notice/9514 ] 


Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 

"
Breaking into Design with Parinishtha | onRec IITR,General SecretaryCA <gensec.cult@iitr.ac.in>,"Greetings everyone! 

Having trouble unleashing your inner designer? Then this is the perfect episode for you guys!! This week we have with us Parinishtha Yadav, a former product designer at Microsoft and Meta. With her unique blend of technical expertise and creative vision, she knows how to create products that not only work seamlessly but also delight users. She shares her insights on how to design for scale and emotion and strike a balance between the two. 
So tune in, approach product design from a fresh perspective and learn how to apply these principles to your projects. 

Link to the Podcast - [ https://youtu.be/8H64c_2Vt9k | https://youtu.be/8H64c_2Vt9k ] 
Reach us out through our Instagram Handle: [ https://instagram.com/iitr_onrec?utm_medium=copy_link | https://instagram.com/iitr_onrec?utm_medium=copy_link ] 

Or shoot us an email: [ mailto:onrec@iitr.ac.in | onrec@iitr.ac.in ] . 

Regards, 
Team onRec, IIT R. 

"
Important Advisory  related to organised cyber crime,"""Professor In Charge,  Security, IITR"" <pic@security.iitr.ac.in>","
Dear All=C2=A0=20
=C2=A0=20
Greetings from Team Security !=20
=C2=A0=20
Kindly read the following advisory carefully :=20
=C2=A0=20
1. Avoid any kind of free offer related to banking, travel bookings, rebate=
 on purchases.=C2=A0
2. Carelessly don=E2=80=99t share your Aadhar, PAN or biometric details in =
the name of free credit card or another banking facilities.=C2=A0=20
3. Avoid any kind of booking using random link or mobile number from Google=
.=C2=A0=20
4. Don=E2=80=99t entertain any threats or blackmailing =C2=A0call in any si=
tuation or immediately report to us. We are always with you.=C2=A0
5. Don=E2=80=99t transfer single penny to any unknown person even if person=
 is related to reputed bank, company, hotels etc.=C2=A0=20
6. Avoid alluring situation like doubling of money in a very short period.=
=C2=A0
7. Don=E2=80=99t install any unknown application in your phone. These appli=
cations are normally used to forward received SMS to another number immedia=
tely. Received SMS may contains OTP.=C2=A0=20
8. Don=E2=80=99t =C2=A0buy or sell any =E2=80=9Cillicit material=E2=80=9D f=
rom or =C2=A0to anyone. Even possession/consumption =C2=A0is treated as ill=
egal as per IPC. Mind it digital footprints =C2=A0are extremely strong evid=
ence now these days.=C2=A0

Last but not the least =E2=80=9C sharing is the only key to solve the probl=
em=E2=80=9D. So, don=E2=80=99t hide your problem, must share with family an=
d friends.=C2=A0=20
=C2=A0=20
Regards=20
=C2=A0=20
A S Maurya=C2=A0=20
=C2=A0 =20
=20
----
Professor I/C Security
Indian Institute of Technology Roorkee
Roorkee - 247667, I N D I A
Tel: +91 1332 285610, =20
Mobile: +91 9458941011, +91 7310642387
email: pic@security[dot]iitr[dot]ac[dot]in, asmaurya[at]es[dot]iitr[dot]ac[=
dot]in =20

"
REGRADING TEAMS,Neetesh kumar <neetesh@cs.iitr.ac.in>,"Dear Students,=20
It has come to our notice that some students have still not joined the MS-T=
eams. Kindly join the same using the code "" vjg3pl6 "". If you encounter any=
 issues or have any questions, kindly let us know.=20



--=20
Thanks & Regards=20
Dr. Neetesh Kumar,=20
Assistant Professor, CSE,=20
Indian Institute of Technology-Roorkee (IIT-R),=20
Haridwar Highway, Uttarakhand, India -247667.=20
Web: https://www.iitr.ac.in/~CSE/Neetesh_Kumar=20
Google Scholar:=C2=A0https://scholar.google.co.in/citations?user=3DUt_l01AA=
AAAJ&hl=3Den=20
"
"_IIT_Roorkee_Motorsports",Associate Dean Corporate Interaction <adci@iitr.ac.in>,"Dear students, dear colleagues,=20

With immense pleasure, we cordially invite you to the ""Unveiling of RMSE23""=
, to be held on 23rd April, 2023 (Sunday) from 6:30 PM onwards in front of =
the James Thomason Building .=20
Our [ https://motorsports.iitr.ac.in/ | IIT Roorkee MotorSports ] team has =
put in great efforts in designing and manufacturing the race car RMSE23. It=
 is a great opportunity for us to see the performance of RMSE23 and encoura=
ge the team.=20
You may consider bringing your loved ones, especially school going children=
, as it is a nice opportunity for them to see the amazing work of our stude=
nts=20

regards=20
sairam=20


---------- Forwarded message ---------=20
From: IIT Roorkee Motorsports < [ mailto:iitrms@iitr.ac.in | iitrms@iitr.ac=
.in ] >=20
Date: Fri, 21 Apr 2023 at 12:33 PM=20
Subject: Invitation for =E2=80=9CUnveiling of RMSE23=E2=80=9D || IIT Roorke=
e Motorsports=20
To: General Secretary Technical Affairs < [ mailto:gensec.technical@iitr.ac=
.in | gensec.technical@iitr.ac.in ] >=20




Greetings!=20

We are the official Formula Student Electric Team of IIT Roorkee. Our aim i=
s to build a formula-style electric race car and represent IIT Roorkee at N=
ational and International Formula Student Competitions.=20


After a lot of hard work and dedication, the team has successfully designed=
 and manufactured our latest race car RMSE23 which will be competing in For=
mula Student UK to be held at Silverstone F1 Circuit in July 2023.=20

Key Highlights of RMSE23:=20




    *=20

Top Speed: 160 km/h=20
    *=20

0-100 km/h in 2.9 sec=20
    *=20

Peak Motor Torque: 230 Nm=20



With immense pleasure, we cordially invite you to the ""Unveiling of RMSE23""=
, to be held on 23rd April, 2023 (Sunday) from 6:30 PM onwards in front of =
the James Thomason Building . Hon=E2=80=99ble DIRECTOR of IIT Roorkee has a=
greed to be the Chief Guest of the Event .=20

Your presence will be encouraging and will contribute to a successful event=
.=20
---=20
Best Regards=20

Ayan Shree=20
Team Leader=20


IIT Roorkee Motorsports=20
MIED Workshop, IIT Roorkee=20
Roorkee, Uttarakhand, India=20
Pin- 247667=20
Web: [ http://motorsports.iitr.ac.in/ | http://motorsports.iitr.ac.in/ ]=20
[ https://www.facebook.com/iitrms.in/ | Facebook ] [ https://www.linkedin.c=
om/in/iitrms | LinkedIn ] [ https://www.instagram.com/iitroorkeemotorsports=
/ | Instagram ] [ https://twitter.com/iitrms_iitr?s=3D08 | Twitter ]=20
--=20
Thanks & Regards,=20
Aryan Bidani=20
General Secretary Technical Affairs=20
IIT ROORKEE=20



"
ETE (CSE) schedule for Spring 2023 (Excluding UG I Year),Pravendra Singh <pravendra.singh@cs.iitr.ac.in>,"

Dear All, 




PFA the final ETE schedule for Spring 2023. 

Regards, 
Pravendra 

-- 
Pravendra Singh 
Assistant Professor 
Department of Computer Science and Engineering 
Indian Institute of Technology Roorkee 
Roorkee-247667, INDIA 
"
Workshop/ Insights on Innovation: Success Stories/ Department of
 Design,Head Design <head@design.iitr.ac.in>,"

Dear Students,=20


We are pleased to invite you to the upcoming Industry-Academia Workshop on =
""Insights on Innovation: Success Stories=E2=80=9D.=20


The details of the workshop are as follows:=20

Date: April 22nd - 23rd, 2023=20

Venue: APJ Abdul Kalam Block, Lecture Hall Complex (L2-003)=20

Time: 09:30 AM onwards (Both days)=20


This Workshop will bring together experts from academia and industry to sha=
re their insights and experiences on innovation and explore how collaborati=
on between the two can drive innovation forward. We believe this will be an=
 invaluable opportunity for you better to understand innovation and its pot=
ential impact on various industries.=20




We have an impressive lineup of speakers who will share their stories and e=
xperiences with you, along with panel discussions and networking opportunit=
ies. You'll have the chance to learn from and interact with experts in the =
field and gain valuable insights that can help shape your future career.=20

The event is open to all students, and we encourage you to attend and take =
advantage of this opportunity.=20


Link for Registration: [ https://forms.gle/WEGEMmF43etfxDyf6 | https://form=
s.gle/WEGEMmF43etfxDyf6 ]=20


Every participant will receive a certificate for active participation.=20

We look forward to seeing you at the Workshop!=20


Best regards,=20
Inderdeep=20


"
"Guest Lecture on ""Public Policy and Social Media Interface"" by Mr
 Himanshu Shekhar Mishra on 22nd April at 11 AM",Head Management Studies <head@ms.iitr.ac.in>,"
Warm Greetings!

The Department of Management Studies invites you to a guest lecture on ""Pub=
lic Policy and Social Media Interface"" by Mr Himanshu Shekhar Mishra.

About the Speaker:

Mr Himanshu Shekhar Mishra works as Senior Editor (Political & Current Affa=
irs) at New Delhi Television Limited (NDTV India). He covers the Government=
 of India and Parliament for NDTV. He was part of the Prime Minister's offi=
cial entourage to the United Nations General Assembly=E2=80=99s Annual Sess=
ion in New York (September 2003) and also to Indo-Turkish Summit held in An=
kara and Istanbul (2003). He has covered Prime Minister=E2=80=99s official =
visits to Pakistan (January 2004) and Afghanistan (August 2005) as a TV new=
s journalist.

He has also extensively reported and researched on issues related with clim=
ate-related disasters like floods, legal rights of disaster victims, threat=
s posed by climate change to the sustainability of development processes an=
d industry, the impact of the COVID-19 Pandemic on Sustainable Development =
Goals (SDGs),  Migrant Workers and Agriculture, Crisis Communication and th=
e Sendai Framework for Disaster Risk Reduction-2015-30 targets and a Disast=
er Management Framework for BRICS member states.
His first research paper on the unprecedented floods in Jammu and Kashmir i=
n September 2014 was selected for presentation at the 3rd United Nations Wo=
rld Conference on Disaster Risk Reduction (WCDRR) held in Sendai, Japan in =
March 2015.
Titled =E2=80=9CInterrogating Right to Compensation in Disaster Laws: A Cas=
e Study of Kashmir Floods=E2=80=9D, the Paper was later published by Routle=
dge in London in July 2017 in an international volume titled =E2=80=9CDisas=
ter Laws, Emerging Thresholds=E2=80=9D edited by Professor Dr. Amita Singh,=
 founding chairperson, Special Centre for Disaster Research in Jawaharlal N=
ehru University.

He holds a Master of Philosophy (M.Phil) degree from the Centre for West As=
ian Studies, School of International Studies, Jawaharlal Nehru University (=
JNU). His M. Phil Dissertation was titled: ""Military in Politics: A Compara=
tive Study of Post-War Turkey and Algeria"" (1999). Earlier, he did his Post=
-graduation in Political Science from the Centre for Political Studies, Sch=
ool of Social Sciences, JNU (1995-97) and Graduation (Bachelor of Arts) in =
English Literature (Hons.) from Delhi University.=20
=20
Date and Time: 22nd April 2023, 11 AM

Venue: LH 1.=20

All are welcome for an interactive session with Mr. Himanshu Shekhar Mishra=
.


Regards
Usha Lenka
Head, Management Studies"
IPR Cell Newsletter,Associate Dean of Innovation and Incubation <adii@iitr.ac.in>,"Dear All 

I am pleased to present latest edition of [ https://ipr.iitr.ac.in/wp-content/uploads/2023/04/IPR-Cell-Newsletter-2023-Feb.pdf | IPR Cell Newsletter ] . 

With the help of all the stakeholders, now filing for protection, granting of IPRs and commercialization of technologies are on rising trend. 

We will be happy to help all the researchers of the Institute in all IPR and technology commercialization issues. 

We also look forward your suggestions to improve next issues of IPR cell newsletters. Do write to [ mailto:adii@iitr.ac.in | adii@iitr.ac.in ] . 

Wish you all a happy weekend. 

Rajat 
[ https://ipr.iitr.ac.in/wp-content/uploads/2023/04/IPR-Cell-Newsletter-2023-Feb.pdf ] 

-- 
Rajat Agrawal 
Associate Dean Innovation and Incubation 
Indian Institute of Technology Roorkee 
Roorkee 247667, India 
ADII office 01332-285810 
IPR Cell 01332- 285873 
Mobile - 9719004491 

[ https://ipr.iitr.ac.in/ | IPR Cell  ] 
"
"Fwd: Invitation to the student teams and faculty members for
 participating in the  Innovation, Design and Entrepreneurship (IDE)
 Bootcamps organised by MIC and AICTE",Associate Dean of Innovation and Incubation <adii@iitr.ac.in>,"Dear Students=20

Interested students can take benefit of the opportunity.=20

@ Head, DoD Please see some teams from MDes and MIM participate in the even=
t.=20

Rajat=20


From: ""All India Council for Technical Education(no-reply)"" <admin@aicte-in=
dia.org>=20
To: adii@iitr.ac.in=20
Sent: Friday, April 21, 2023 4:39:57 PM=20
Subject: Invitation to the student teams and faculty members for participat=
ing in the Innovation, Design and Entrepreneurship (IDE) Bootcamps organise=
d by MIC and AICTE=20



Dear Sir/Madam,=20

Greetings from the Ministry of Education=E2=80=99s Innovation Cell (MIC) an=
d the All India Council for Technical Education (AICTE).=20

The MIC and AICTE is organizing an =E2=80=9CInnovation, Design and Entrepre=
neurship (IDE) Bootcamps=E2=80=9D for students and Faculty Members /Teacher=
s from Higher Education Institutes and Schools having keen interest in inno=
vation, design and entrepreneurship and students having experience in these=
 areas will be preferred.=20

The student teams also have to pitch/present their idea/innovation during t=
he bootcamp. The template of Pitch deck(Presentation) is given below (Pleas=
e make the presentation as per template and upload it in the PDF format in =
section 3 of student team google form )=20


The IDE-bootcamp will be an intensive 5 days hands-on, experiential learnin=
g program where students will use multiple product design methodologies & I=
nculcate design thinking concepts and get an action-based experience. The B=
ootcamps will be organized from 19th June 2023 to 23rd June 2023 in 6 locat=
ions in India.=20

1. Bhopal (Madhya Pradesh)=20

2. Bhubaneswar (Odisha)=20

3. Chennai(Tamil Nadu)=20

4. Chandigarh=20

5. Guwahati(Assam)=20

6. Pune (Maharashtra)=20

Key Focus Areas of the Bootcamp cum Design Week=20

i. Training: Principles of Product Design, Innovation Validation, Design th=
inking, Value proposition, Business model and Marketing.=20

ii. Interaction: Participants, Experts, Mentors, Startup-Founders, potentia=
l investors=20

iii. Leadership/expert talks: Various experts/leaders in the area of innova=
tion and entrepreneurship=20

iv. Experience Sharing: MIC alumni who established their enterprise share t=
heir experience=20

v. Mentoring: During all five days and also through the portal round the ye=
ar=20

vi. Pitching: The pitching of participants will be evaluated and experts wi=
ll give them tips for improvement.=20

vii. Networking and connecting opportunity: Spend time with like-minded peo=
ple and forge partnerships with other startups, partners and other players =
within the startup ecosystem=20

The bootcamp will be organized for 5 days physically. We will provide food =
& accommodation. The travel cost has to be borne by the participating stude=
nts/faculty members or their institute.=20

Those who are interested in taking part in the bootcamp kindly fill out the=
 attached Google form and submit it before 5:00 PM, 30th April 2023 positiv=
ely.=20

(a) Google Link for the student teams from Higher Education Institutes -=20

This form is intended to be filled by team leaders .As MIC receives huge nu=
mber of applications for attending the bootcamp ,only selected teams (1 tea=
m leader and 1 team member ) will be called for the bootcamp after scrutiny=
.Multiple teams can apply from the same institute.=20



(b) Google link for faculty members from Higher Education Institutes (Only =
1 Faculty member to be nominated by Head of the Institute or IIC President =
to attend the bootcamp)=20



Important points to be Noted -=20

(i) The organizing team will try to allocate the location as per the prefer=
ence but the organizing team will allocate the final location as per the av=
ailability and suitability .=20

(ii) Candidates are advised to give correct email id ,MIC will not be respo=
nsible for any miscommunication due to wrong email id .=20

(iii) Mere filling this form will not make you eligible for participating i=
n the bootcamp.This is not a confirmation email.As MIC receives huge number=
 of applications for attending the bootcamp ,only selected teams and facult=
y members will be called for the bootcamp after scrutiny and the Selection =
will be based on the criteria decided by the MIC.=20

(iv) Exact location of the bootcamp will be shared later.=20



Thanks & Regards=20
Smart India Hackathon Team=20
MoE's Innovation Cell=20
For any query, kindly connect us at [ mailto:idebootcamp@aicte-india.org | =
idebootcamp@aicte-india.org ]=20

--=20
Rajat Agrawal=20
Associate Dean Innovation and Incubation=20
Indian Institute of Technology Roorkee=20
Roorkee 247667, India=20
ADII office 01332-285810=20
IPR Cell 01332- 285873=20
Mobile - 9719004491=20

[ https://ipr.iitr.ac.in/ | IPR Cell  ]=20
"
Congratulations to Prof Paritosh Mohanty for Indian Patent,Associate Dean of Innovation and Incubation <adii@iitr.ac.in>,"

Dear All 


Please join me in congratulating Prof Paritosh Mohanty (CY) and his team for getting grant of an Indian Patent. 

Please see the attached certificates of grant. The certificate has name of all three inventors. 

As per latest Senate decision, granted patents can also be considered for Phd submission requirements. 

As per latest screening guidelines, patents will be considered for eligibility requirements at Associate Professor level. 

It is also recommended to use Xlscout and Derwent for doing literature review for Phd proposals. 

Further, Institute has launched a scheme of [ https://ipr.iitr.ac.in/trl-booster-scheme/ | TRL boosting ] to take patented technologies to the commercialization level. 

We hope to get more such Good News from other colleagues also. 

Rajat 

-- 
Rajat Agrawal 
Associate Dean Innovation and Incubation 
Indian Institute of Technology Roorkee 
Roorkee 247667, India 
ADII office 01332-285810 
IPR Cell 01332- 285873 
Mobile - 9719004491 

[ https://ipr.iitr.ac.in/ | IPR Cell  ] 

"
Eid Mubarak,Chairperson Diversity and Inclusion Committee <chair.dinc@iitr.ac.in>,"Dear all, 

May the blessings of God load your life with peace, happiness and success. 


Regards 
Diversity and Inclusion Committee (DInC) 
IIT Roorkee. 

"
"designed and manufactured our latest race car",General Secretary Technical Affairs <gensec.technical@iitr.ac.in>,"Greetings!


We are the official Formula Student Electric Team of IIT Roorkee. Our aim
is to build a formula-style electric race car and represent IIT Roorkee at
National and International Formula Student Competitions.


After a lot of hard work and dedication, the team has successfully designed
and manufactured our latest race car RMSE23 which will be competing in
Formula Student UK to be held at Silverstone F1 Circuit in July 2023.

"
"Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class
 Materials",Himanshu Fulara <himanshu.fulara@ph.iitr.ac.in>,"The Solution to Assignment 01 is attached. 

Himanshu 

*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Wednesday, April 19, 2023 3:54:36 PM 
Subject: Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Lecture notes L15-18 are attached. 

Himanshu 


*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Wednesday, April 12, 2023 8:51:46 PM 
Subject: Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Lecture notes L09-14 are attached. 

Himanshu 


*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Monday, March 27, 2023 10:51:45 AM 
Subject: Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Lecture notes L06-08 are attached. 

Himanshu 


*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Monday, March 20, 2023 1:14:24 PM 
Subject: Re: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Lecture notes L02-05 are attached. 

Himanshu 

*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 


From: ""Himanshu Fulara"" <himanshu.fulara@ph.iitr.ac.in> 
To: ""PHN-006-i1"" <phn-006-i1@iitr.ac.in> 
Sent: Friday, March 3, 2023 11:01:28 PM 
Subject: PHN-006: Quantum Mechanics and Statistical Mechanics Class Materials 

Dear Students, 

Please, find attached the slides of my introductory Lecture. You need to join the MS team created for the PHN-006 course (O1-O4 batches); otherwise, you will miss the important updates and won't be able to submit your assignments and projects. Please, join the team ASAP via the following code: 



ze2t56l 

Best wishes 
Himanshu 


*************************************************************** 
Himanshu Fulara, Ph.D. (IIT Delhi) 
Assistant Professor 
Department of Physics 
Indian Institute of Technology Roorkee 
Roorkee- 247667, INDIA 
Tel: +91-1332-285773 (O), Mob: +91-9990198665 
Alternative e-mail: fulara.himanshu@gmail.com 
Web: [ https://iitr.ac.in/Departments/Physics%20Department/People/Faculty/100942.html | https://www.iitr.ac.in/~PH/Himanshu_Fulara ] 
*************************************************************** 

"
